,t,h0
0,0,0.0
1,50,0.0456995022789439
2,100,0.06150696892043339
3,150,0.07317993305488267
4,200,0.08278224131824365
5,250,0.0910898618495017
6,300,0.09849288599538952
7,350,0.1052195268202962
8,400,0.1114166345367623
9,450,0.11718514064396217
10,500,0.12259786261009903
11,550,0.1277093283632542
12,600,0.13256159423411143
13,650,0.13718788602702542
14,700,0.141614981416122
15,750,0.14586482696106715
16,800,0.1499556698854772
17,850,0.15390287122431498
18,900,0.15771950336635843
19,950,0.16141679786829474
20,1000,0.16500448690324743
21,1050,0.16849106762205315
22,1100,0.17188400964505263
23,1150,0.17518991992763688
24,1200,0.17841467521534282
25,1250,0.181563529535076
26,1300,0.18464120223059924
27,1350,0.18765195067131796
28,1400,0.19059963076758615
29,1450,0.19348774769689986
30,1500,0.19631949870518556
31,1550,0.19909780944244349
32,1600,0.20182536498517778
33,1650,0.20450463646325184
34,1700,0.20713790402747825
35,1750,0.2097272767530065
36,1800,0.21227470996266135
37,1850,0.21478202036663663
38,1900,0.21725089934503597
39,1950,0.219682924643673
40,2000,0.2220795707082838
41,2050,0.22444221784555313
42,2100,0.22677216036935266
43,2150,0.22907061386595856
44,2200,0.23133872169169808
45,2250,0.233577560799632
46,2300,0.23578814697785352
47,2350,0.23797143957025593
48,2400,0.24012834574076916
49,2450,0.24225972433376097
50,2500,0.24436638937626928
51,2550,0.2464491132617621
52,2600,0.24850862965003334
53,2650,0.25054563611349123
54,2700,0.2525607965563642
55,2750,0.25455474343013584
56,2800,0.25652807976575015
57,2850,0.2584813810407285
58,2900,0.2604151968972582
59,2950,0.26233005272550214
60,3000,0.2642264511247968
61,3050,0.2661048732540289
62,3100,0.2679657800812648
63,3150,0.26980961354164895
64,3200,0.27163679761164633
65,3250,0.27344773930688243
66,3300,0.2752428296101006
67,3350,0.27702244433511314
68,3400,0.2787869449320455
69,3450,0.280536679238665
70,3500,0.2822719821821309
71,3550,0.28399317643509525
72,3600,0.2857005730297234
73,3650,0.2873944719328787
74,3700,0.2890751625854229
75,3750,0.29074292440832533
76,3800,0.2923980272780365
77,3850,0.2940407319733718
78,3900,0.29567129059595887
79,3950,0.2972899469661307
80,4000,0.29889693699599007
81,4050,0.30049248904122955
82,4100,0.3020768242331632
83,4150,0.30365015679231067
84,4200,0.3052126943247673
85,4250,0.3067646381024979
86,4300,0.30830618332860565
87,4350,0.30983751938854553
88,4400,0.3113588300881795
89,4450,0.3128702938795041
90,4500,0.3143720840748206
91,4550,0.31586436905005877
92,4600,0.31734731243791936
93,4650,0.31882107331144677
94,4700,0.32028580635860654
95,4750,0.32174166204839677
96,4800,0.3231887867889902
97,4850,0.3246273230783673
98,4900,0.3260574096478704
99,4950,0.32747918159908107
100,5000,0.32889277053439414
101,5050,0.33029830468163957
102,5100,0.33169590901307894
103,5150,0.33308570535908405
104,5200,0.3344678125167827
105,5250,0.33584234635394267
106,5300,0.3372094199083441
107,5350,0.33856914348287787
108,5400,0.3399216247365919
109,5450,0.3412669687718926
110,5500,0.34260527821809983
111,5550,0.3439366533115369
112,5600,0.3452611919723315
113,5650,0.34657898987808927
114,5700,0.3478901405345939
115,5750,0.3491947353436798
116,5800,0.3504928636684128
117,5850,0.35178461289570845
118,5900,0.35307006849650946
119,5950,0.35434931408363757
120,6000,0.3556224314674279
121,6050,0.35688950070924913
122,6100,0.35815060017300615
123,6150,0.3594058065747175
124,6200,0.36065519503025384
125,6250,0.36189883910132153
126,6300,0.36313681083976684
127,6350,0.3643691808302778
128,6400,0.36559601823155113
129,6450,0.36681739081599296
130,6500,0.3680333650080153
131,6550,0.3692440059209889
132,6600,0.3704493773929092
133,6650,0.3716495420208298
134,6700,0.37284456119411497
135,6750,0.37403449512655995
136,6800,0.37521940288742606
137,6850,0.37639934243143425
138,6900,0.37757437062776067
139,6950,0.37874454328807305
140,7000,0.379909915193647
141,7050,0.3810705401215988
142,7100,0.3822264708702694
143,7150,0.3833777592837925
144,7200,0.3845244562758793
145,7250,0.38566661185284906
146,7300,0.3868042751359357
147,7350,0.3879374943828964
148,7400,0.38906631700895034
149,7450,0.3901907896070714
150,7500,0.3913109579676596
151,7550,0.39242686709761415
152,7600,0.39353856123883024
153,7650,0.3946460838861402
154,7700,0.39574947780472014
155,7750,0.39684878504698023
156,7800,0.39794404696895835
157,7850,0.3990353042462338
158,7900,0.40012259688937823
159,7950,0.40120596425896127
160,8000,0.40228544508012426
161,8050,0.40336107745673944
162,8100,0.404432898885167
163,8150,0.40550094626762495
164,8200,0.40656525592518467
165,8250,0.407625863610405
166,8300,0.4086828045196161
167,8350,0.40973611330486687
168,8400,0.4107858240855447
169,8450,0.4118319704596803
170,8500,0.4128745855149469
171,8550,0.4139137018393642
172,8600,0.41494935153171686
173,8650,0.4159815662116963
174,8700,0.41701037702977484
175,8750,0.41803581467682144
176,8800,0.4190579093934658
177,8850,0.42007669097922035
178,8900,0.42109218880136645
179,8950,0.4221044318036135
180,9000,0.42311344851453625
