,x,hx,model_hx_0.9
0,0.0,0.423113448515,0.423141416133
1,25.0,0.421851674625,0.423163968438
2,50.0,0.420584848542,0.421949167671
3,75.0,0.419312914241,0.420668561619
4,100.0,0.418035814677,0.419382655757
5,125.0,0.416753491751,0.41809138879
6,150.0,0.41546588629,0.416794698778
7,175.0,0.414172938016,0.4154925226
8,200.0,0.412874585515,0.414184795929
9,225.0,0.411570766211,0.412871453194
10,250.0,0.410261416334,0.41155242755
11,275.0,0.408946470886,0.410227650844
12,300.0,0.40762586361,0.408897053573
13,325.0,0.406299526958,0.407560564856
14,350.0,0.404967392049,0.406218112389
15,375.0,0.403629388639,0.404869622406
16,400.0,0.40228544508,0.403515019641
17,425.0,0.400935488282,0.40215422728
18,450.0,0.399579443672,0.400787166924
19,475.0,0.39821723515,0.399413758535
20,500.0,0.396848785047,0.398033920394
21,525.0,0.395474014082,0.396647569048
22,550.0,0.394092841309,0.395254619262
23,575.0,0.392705184076,0.393854983963
24,600.0,0.391310957968,0.392448574185
25,625.0,0.389910076755,0.391035299013
26,650.0,0.388502452342,0.389615065521
27,675.0,0.38708799471,0.388187778712
28,700.0,0.385666611853,0.386753341453
29,725.0,0.384238209724,0.385311654404
30,750.0,0.382802692165,0.383862615953
31,775.0,0.381359960847,0.38240612214
32,800.0,0.379909915194,0.380942066584
33,825.0,0.378452452316,0.3794703404
34,850.0,0.376987466935,0.377990832126
35,875.0,0.375514851304,0.376503427627
36,900.0,0.374034495127,0.375008010014
37,925.0,0.372546285474,0.373504459541
38,950.0,0.371050106698,0.371992653514
39,975.0,0.369545840333,0.370472466185
40,1000.0,0.368033365008,0.368943768651
41,1025.0,0.366512556341,0.367406428737
42,1050.0,0.364983286837,0.365860310886
43,1075.0,0.363445425776,0.364305276033
44,1100.0,0.361898839101,0.36274118148
45,1125.0,0.3603433893,0.361167880763
46,1150.0,0.358778935275,0.359585223515
47,1175.0,0.357205332217,0.357993055314
48,1200.0,0.355622431467,0.356391217537
49,1225.0,0.354030080371,0.354779547193
50,1250.0,0.352428122131,0.353157876762
51,1275.0,0.350816395645,0.351526034013
52,1300.0,0.349194735344,0.349883841821
53,1325.0,0.347562971016,0.348231117969
54,1350.0,0.345920927625,0.346567674946
55,1375.0,0.344268425117,0.34489331973
56,1400.0,0.342605278218,0.343207853562
57,1425.0,0.340931296223,0.341511071706
58,1450.0,0.339246282772,0.339802763198
59,1475.0,0.337550035613,0.338082710577
60,1500.0,0.335842346354,0.336350689606
61,1525.0,0.334123000203,0.334606468978
62,1550.0,0.33239177569,0.33284981
63,1575.0,0.330648444373,0.33108046627
64,1600.0,0.328892770534,0.329298183315
65,1625.0,0.327124510851,0.327502698225
66,1650.0,0.325343414051,0.325693739263
67,1675.0,0.323549220546,0.323871025447
68,1700.0,0.321741662048,0.322034266113
69,1725.0,0.319920461156,0.320183160441
70,1750.0,0.31808533092,0.318317396954
71,1775.0,0.31623597438,0.316436652988
72,1800.0,0.314372084075,0.314540594132
73,1825.0,0.312493341515,0.31262887363
74,1850.0,0.310599416632,0.310701131742
75,1875.0,0.308689967179,0.308756995047
76,1900.0,0.306764638102,0.306796075714
77,1925.0,0.304823060863,0.304817970721
78,1950.0,0.302864852715,0.302822261026
79,1975.0,0.300889615935,0.300808510683
80,2000.0,0.298896936996,0.298776265863
81,2025.0,0.296886385677,0.296725053811
82,2050.0,0.294857514115,0.294654381734
83,2075.0,0.292809855788,0.292563735629
84,2100.0,0.290742924408,0.290452579007
85,2125.0,0.288656212748,0.288320351501
86,2150.0,0.286549191362,0.286166467336
87,2175.0,0.284421307212,0.283990313688
88,2200.0,0.282271982182,0.281791248959
89,2225.0,0.280100611471,0.279568600912
90,2250.0,0.277906561849,0.277321664605
91,2275.0,0.275689169768,0.275049700083
92,2300.0,0.273447739307,0.272751929878
93,2325.0,0.271181539935,0.270427536361
94,2350.0,0.268889804075,0.268075658916
95,2375.0,0.266571724441,0.265695390768
96,2400.0,0.264226451125,0.263285775375
97,2425.0,0.261853088409,0.260845802431
98,2450.0,0.259450691259,0.258374403643
99,2475.0,0.257018261472,0.25587044824
100,2500.0,0.25455474343,0.253332737906
101,2525.0,0.252059019405,0.250760000844
102,2550.0,0.249529904366,0.248150885061
103,2575.0,0.246966140215,0.24550395127
104,2600.0,0.244366389376,0.242817665385
105,2625.0,0.241729227644,0.240090389967
106,2650.0,0.239053136191,0.237320373821
107,2675.0,0.236336492603,0.234505739974
108,2700.0,0.2335775608,0.231644472975
109,2725.0,0.230774479662,0.228734405622
110,2750.0,0.227925250165,0.225773203376
111,2775.0,0.225027720757,0.222758344543
112,2800.0,0.222079570708,0.219687096899
113,2825.0,0.219078291042,0.216556493368
114,2850.0,0.216021162639,0.213363306672
115,2875.0,0.21290523096,0.210104017819
116,2900.0,0.209727276753,0.206774773645
117,2925.0,0.206483781911,0.203371336665
118,2950.0,0.203170889494,0.199889034593
119,2975.0,0.199784356631,0.196322706376
120,3000.0,0.196319498705,0.192666627227
121,3025.0,0.192771122762,0.188914402543
122,3050.0,0.189133447505,0.185058847537
123,3075.0,0.185400006428,0.181091871326
124,3100.0,0.181563529535,0.177004336572
125,3125.0,0.17761579759,0.172785831755
126,3150.0,0.173547460709,0.168424353003
127,3175.0,0.169347810047,0.163905978247
128,3200.0,0.165004486903,0.159214540202
129,3225.0,0.160503107007,0.154331088431
130,3250.0,0.155826767766,0.149232945061
131,3275.0,0.150955390753,0.143892548146
132,3300.0,0.145864826961,0.138276353725
133,3325.0,0.140525611439,0.132343172736
134,3350.0,0.134901184002,0.126040581247
135,3375.0,0.128945267754,0.119299386227
136,3400.0,0.12259786261,0.11202764473
137,3425.0,0.115778843497,0.104101504119
138,3450.0,0.108377149925,0.0953414307712
139,3475.0,0.100231194513,0.0854632128441
140,3500.0,0.0910898618495,0.0739983260722
141,3525.0,0.0805239129308,0.060113995387
142,3550.0,0.0676795072533,0.0420850525816
143,3575.0,0.050285680635,0.0176997592766
144,3600.0,0.0,0.00207117109296
