,z_value
0,1.0000001e-05
1,1.0000001e-05
2,1.0000001e-05
3,1.0000001e-05
4,1.0000001e-05
5,1.0000001e-05
6,1.0000001e-05
7,1.0000001e-05
8,0.00686524237173
9,0.00396512099684
10,0.00383794408569
11,0.0034095637702
12,0.00238443732752
13,1.0000001e-05
14,1.0000001e-05
15,0.0150142640703
16,0.00673042747982
17,0.00632040577658
18,0.0053785493672
19,0.0034095637702
20,1.0000001e-05
21,1.0000001e-05
22,0.0674213160322
23,0.0411328304271
24,0.0308763560845
25,0.019881601894
26,0.00918975768043
27,1.0000001e-05
28,1.0000001e-05
29,0.0150142640703
30,0.00673042747982
31,0.00632040577658
32,0.0053785493672
33,0.0034095637702
34,1.0000001e-05
35,1.0000001e-05
36,0.00686524237173
37,0.00396512099684
38,0.00383794408569
39,0.0034095637702
40,0.00238443732752
41,1.0000001e-05
42,1.0000001e-05
43,1.0000001e-05
44,1.0000001e-05
45,1.0000001e-05
46,1.0000001e-05
47,1.0000001e-05
48,1.0000001e-05
