,Unnamed: 0,time,discharge,discharge_cmm,time_min
0,0,60.0,3.00000029991e-05,0.00180000017995,1
2,2,125.121268317,0.13687579283,8.2125475698,2
6,6,193.587444662,1.00439358918,60.2636153508,3
10,10,240.119838476,2.14644266477,128.786559886,4
17,17,306.941499775,3.45298504187,207.179102512,5
23,23,361.10008203,3.67217619991,220.330571995,6
30,30,423.481286198,3.7663666676,225.982000056,7
37,37,485.698857689,3.75741118861,225.444671317,8
44,44,547.96942314,3.75408636605,225.245181963,9
50,50,601.375054338,3.75356262929,225.213757757,10
57,57,663.677659621,3.74521689776,224.713013866,11
64,64,725.978082503,3.75452890525,225.271734315,12
71,71,788.27535656,3.74606467874,224.763880724,13
77,77,841.676903562,3.74465731815,224.679439089,14
84,84,903.965592218,3.75505020588,225.303012353,15
91,91,966.268808779,3.74476149138,224.685689483,16
98,98,1028.55714993,3.75509017339,225.305410403,17
104,104,1081.956691,3.75333326241,225.199995745,18
111,111,1144.25314702,3.7458837133,224.753022798,19
118,118,1206.54805194,3.75333527811,225.200116687,20
125,125,1268.84450171,3.7458843758,224.753062548,21
131,131,1322.24263574,3.74414657239,224.648794343,22
138,138,1384.53318992,3.75488293444,225.292976066,23
145,145,1446.8339878,3.74414659029,224.648795417,24
151,151,1500.22899532,3.74649285439,224.789571263,25
158,158,1562.52129864,3.75309443593,225.185666156,26
165,165,1624.82034732,3.7464928546,224.789571276,27
172,172,1687.11265064,3.75309443595,225.185666157,28
178,178,1740.50951728,3.75537649423,225.322589654,29
185,185,1802.80704322,3.74506636974,224.703982184,30
192,192,1865.10086928,3.75537649423,225.322589654,31
199,199,1927.39839523,3.74506636974,224.703982184,32
205,205,1980.79706439,3.74675570096,224.805342058,33
212,212,2043.08643506,3.7541498291,225.248989746,34
219,219,2105.38841639,3.74675570096,224.805342058,35
226,226,2167.67778706,3.7541498291,225.248989746,36
232,232,2221.07779453,3.75508676438,225.305205863,37
239,239,2283.37301345,3.74632236522,224.779341913,38
246,246,2345.66914653,3.75508676438,225.305205863,39
253,253,2407.96436545,3.74632236522,224.779341913,40
259,259,2461.36511287,3.7447787659,224.686725954,41
266,266,2523.65340037,3.75509592928,225.305755757,42
273,273,2585.95646488,3.7447787659,224.686725954,43
280,280,2648.24475237,3.75509592928,225.305755757,44
286,286,2701.64427679,3.75333548308,225.200128985,45
293,293,2763.94072595,3.74588443542,224.753066125,46
300,300,2826.23562879,3.75333548308,225.200128985,47
307,307,2888.53207795,3.74588443542,224.753066125,48
313,313,2941.93021183,3.74414659123,224.648795474,49
320,320,3004.22076596,3.75488293863,225.292976318,50
327,327,3066.52156384,3.74414659123,224.648795474,51
334,334,3128.81211797,3.75488293863,225.292976318,52
340,340,3182.20887467,3.75309443595,225.185666157,53
347,347,3244.50792335,3.74649285461,224.789571277,54
354,354,3306.80022668,3.75309443595,225.185666157,55
360,360,3360.19709331,3.75537649423,225.322589654,56
367,367,3422.49461926,3.74506636974,224.703982184,57
374,374,3484.78844532,3.75537649423,225.322589654,58
381,381,3547.08597126,3.74506636974,224.703982184,59
387,387,3600.48464043,3.74675570096,224.805342058,60
